audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
81,positive,86,True,positive,akeelahandthebee,2016,Akeelah and the Bee
84,positive,97,True,positive,bignight,2010,Big Night
40,negative,0,False,negative,confidentialinformant,2023,Confidential Informant
85,positive,92,True,positive,grizzlyman,2012,Grizzly Man
48,negative,90,False,positive,he'swatching,2022,He's Watching
91,positive,100,False,positive,help,2022,Help
49,negative,87,True,positive,letthemalltalk,2020,Let Them All Talk
76,positive,98,True,positive,onehundredandonedalmatians,2016,One Hundred and One Dalmatians
50,negative,15,False,negative,reddawn,2017,Red Dawn
52,negative,60,False,positive,sisters,2016,Sisters
46,negative,17,False,negative,theback-upplan,2015,The Back-up Plan
,,,False,,thejackinthebox:rises,2024,The Jack in the Box: Rises
23,negative,15,False,negative,thelazaruseffect,2015,The Lazarus Effect
51,negative,83,False,positive,themimic,2018,The Mimic
83,positive,84,True,positive,thesocialdilemma,2020,The Social Dilemma
29,negative,10,False,negative,thespecialist,2009,The Specialist
40,negative,71,False,positive,thesubtleartofnotgivinga#@%!,2023,The Subtle Art of Not Giving a #@%!
60,positive,71,False,positive,wingwomen,2023,Wingwomen
43,negative,57,False,negative,anightmareonelmstreet4:thedreammaster,2010,A Nightmare on Elm Street 4: The Dream Master
,,82,False,positive,aberrance,2024,Aberrance
34,negative,47,False,negative,attackontitan,2016,Attack on Titan
52,negative,25,False,negative,ben-hur,2017,Ben-Hur
94,positive,,False,,brothersinarms,2018,Brothers in Arms
57,negative,71,False,positive,deadshot,2023,Dead Shot
61,positive,68,False,positive,footloose,2013,Footloose
63,positive,,False,,heartland,2017,Heartland
72,positive,27,False,negative,hopefloats,2013,Hope Floats
54,negative,56,False,negative,lbj,2018,LBJ
92,positive,100,True,positive,opencity,2015,Open City
79,positive,59,False,negative,serendipity,2015,Serendipity
80,positive,91,False,positive,theoutlaws,2018,The Outlaws
25,negative,,False,,vengeance:alovestory,2017,Vengeance: A Love Story
79,positive,91,True,positive,arctic,2019,Arctic
60,positive,38,False,negative,daysofthunder,2011,Days of Thunder
86,positive,84,True,positive,elizabeth,2014,Elizabeth
51,negative,38,False,negative,fantasticfour:riseofthesilversurfer,2016,Fantastic Four: Rise of the Silver Surfer
92,positive,98,True,positive,hoopdreams,2016,Hoop Dreams
93,positive,86,False,positive,ipman,2010,Ip Man
88,positive,86,True,positive,ofanage,2023,Of an Age
66,positive,,False,,perfectaddiction,2023,Perfect Addiction
82,positive,94,True,positive,re-animator,2016,Re-Animator
51,negative,50,False,negative,re/member,2023,Re/Member
36,negative,27,False,negative,sherlockgnomes,2018,Sherlock Gnomes
76,positive,52,False,negative,thekingdom,2016,The Kingdom
