age_certification,disneyplus,full_path,globoplay,hbomax,id,imdbPopularity,imdbScore,imdbVotes,justwatchScore,lower_title,movie_genre,netflix,object_type,original_release_year,original_title,paramountplus,primevideo,production_countrie,runtime,starplus,title,tmdbPopularity,tmdbScore,website_url
16,False,/br/filme/oppenheimer,True,True,tm1111989,583.688,8.3,734543,0.928280031954,oppenheimer,drm,False,MOVIE,2023,Oppenheimer,False,True,GB,180,False,Oppenheimer,583.688,8.103,www.justwatch.com/br/filme/oppenheimer
,False,/br/filme/wonka,False,True,tm993076,355.855,7,142117,0.860209538568,wonka,cmy,False,MOVIE,2023,Wonka,False,False,US,116,False,Wonka,355.855,7.186,www.justwatch.com/br/filme/wonka
16,False,/br/filme/redeeming-love,True,True,tm1116280,60.354,6.7,14294,0.810565788901,redeeminglove,drm,False,MOVIE,2022,Redeeming Love,False,True,ZA,134,False,Um Amor Incondicional,60.354,7.8,www.justwatch.com/br/filme/redeeming-love
18,False,/br/filme/os-infiltrados,False,True,tm27911,189.476,8.5,1423755.0,0.974463366499,thedeparted,drm,False,MOVIE,2006,The Departed,False,True,HK,151,False,The Departed - Entre Inimigos,189.476,8.168,www.justwatch.com/br/filme/os-infiltrados
18,False,/br/filme/pearl-2022,True,True,tm1239026,48.104,,,0.884373185625,pearl,drm,False,MOVIE,2022,Pearl,False,False,US,102,False,Pearl,48.104,7.3,www.justwatch.com/br/filme/pearl-2022
14,False,/br/filme/asteroid-city,True,True,tm1187540,70.315,6.5,114072,0.72221443504,asteroidcity,cmy,False,MOVIE,2023,Asteroid City,False,True,US,104,False,Asteroid City,70.315,6.494,www.justwatch.com/br/filme/asteroid-city
16,False,/br/filme/the-shawshank-redemption,False,True,tm119206,133.625,9.3,2852025.0,0.986940594055,theshawshankredemption,drm,False,MOVIE,1994,The Shawshank Redemption,False,False,US,142,False,Os Condenados de Shawshank,133.625,8.704,www.justwatch.com/br/filme/the-shawshank-redemption
16,False,/br/filme/joker-2019,False,True,tm349873,535.557,8.4,1492136.0,0.935336508531,joker,crm,False,MOVIE,2019,Joker,False,False,US,122,False,Coringa,535.557,8.162,www.justwatch.com/br/filme/joker-2019
16,False,/br/filme/parasitas,True,True,tm414170,107.11,8.5,961818,0.944757436567,,cmy,False,MOVIE,2019,기생충,False,False,KR,132,False,Parasitas,107.11,8.51,www.justwatch.com/br/filme/parasitas
,False,/br/filme/tartarugas-ate-la-embaixo,False,True,tm1467951,210.541,6.8,1676,0.619085362286,turtlesallthewaydown,rma,False,MOVIE,2024,Turtles All the Way Down,False,False,US,111,False,Tartarugas Até Lá Embaixo,210.541,7.6,www.justwatch.com/br/filme/tartarugas-ate-la-embaixo
12,False,/br/filme/geostorm-ameaca-global,False,True,tm120595,211.254,5.3,118614,0.824252542103,geostorm,act,False,MOVIE,2017,Geostorm,False,True,CA,109,False,Geostorm - Ameaça Global,211.254,6.1,www.justwatch.com/br/filme/geostorm-ameaca-global
16,False,/br/filme/caes-de-aluguel,True,False,tm123099,80.195,8.3,1089305.0,0.9640225202,reservoirdogs,crm,False,MOVIE,1992,Reservoir Dogs,False,False,US,99,False,Cães Danados,80.195,8.128,www.justwatch.com/br/filme/caes-de-aluguel
16,False,/br/filme/tropa-de-elite-2-o-inimigo-agora-e-outro,True,False,tm90443,29.79,8,86849,0.943330800106,tropadeelite2,drm,False,MOVIE,2010,Tropa de Elite 2,False,False,BR,115,False,Tropa de Elite 2,29.79,7.808,www.justwatch.com/br/filme/tropa-de-elite-2-o-inimigo-agora-e-outro
12,False,/br/filme/paris-texas,True,False,tm174079,101.139,8.1,119308,0.907050180726,paristexas,drm,False,MOVIE,1984,"Paris, Texas",False,False,DE,145,False,"Paris, Texas",101.139,8.1,www.justwatch.com/br/filme/paris-texas
L,False,/br/filme/puss-in-boots-the-last-wish,True,False,tm558,166.844,7.8,175917,0.939006112629,pussinbootsthelastwish,ani,False,MOVIE,2022,Puss in Boots: The Last Wish,False,False,US,95,False,O Gato das Botas: O Último Desejo,166.844,8.238,www.justwatch.com/br/filme/puss-in-boots-the-last-wish
18,False,/br/filme/kill-bill-volume-1,True,False,tm137220,91.233,8.2,1195545.0,0.949112406216,killbillvol1,crm,False,MOVIE,2003,Kill Bill: Vol. 1,False,False,US,111,False,Kill Bill - A Vingança (vol. 1),91.233,7.97,www.justwatch.com/br/filme/kill-bill-volume-1
14,False,/br/filme/nope,True,False,tm973372,62.559,6.8,266900,0.843116374324,nope,hrr,False,MOVIE,2022,Nope,False,False,US,130,False,Nope,62.559,6.859,www.justwatch.com/br/filme/nope
14,False,/br/filme/brilho-eterno-de-uma-mente-sem-lembrancas,True,False,tm94058,74.257,8.3,1079232.0,0.944117523899,eternalsunshineofthespotlessmind,rma,False,MOVIE,2004,Eternal Sunshine of the Spotless Mind,False,False,US,108,False,O Despertar da Mente,74.257,8.097,www.justwatch.com/br/filme/brilho-eterno-de-uma-mente-sem-lembrancas
12,False,/br/filme/monster-2023,True,False,tm1279226,63.687,7.8,21609,0.909601921069,,trl,False,MOVIE,2023,怪物,False,False,JP,125,False,Monstro,63.687,8.1,www.justwatch.com/br/filme/monster-2023
14,False,/br/filme/alien-o-oitavo-passageiro,False,False,tm72398,385.717,8.5,952266,0.971203695718,alien,scf,False,MOVIE,1979,Alien,False,False,GB,117,True,Alien - O 8.º Passageiro,385.717,8.152,www.justwatch.com/br/filme/alien-o-oitavo-passageiro
16,False,/br/filme/the-last-duel,False,False,tm841254,56.375,7.4,182523,0.879343506921,thelastduel,hst,False,MOVIE,2021,The Last Duel,False,False,US,153,True,O Último Duelo,56.375,7.445,www.justwatch.com/br/filme/the-last-duel
10,False,/br/filme/a-vida-secreta-de-walter-mitty,False,False,tm171462,45.713,7.3,341271,0.923170536925,thesecretlifeofwaltermitty,drm,True,MOVIE,2013,The Secret Life of Walter Mitty,False,False,GB,114,True,A Vida Secreta de Walter Mitty,45.713,7.183,www.justwatch.com/br/filme/a-vida-secreta-de-walter-mitty
